id,amount
92007,215
93711,100
94114,-900
90077,25
91106,100
33993,100
95959,100
91007,50
91007,50
93004,100
93004,25
92562,100
92831,50
92651,50
94301,100
91801,-100
92307,25
94111,1000
91978,84
92109,35
92025,198
92116,-50
92116,50
92110,198
92008,100
92117,30
92109,84
92107,84
92116,42
92091,150
92107,400
92101,5000
92085,5000
92109,84
92105,50
92091,300
92067,250
92024,300
92101,2000
92123,1000
92025,250
92091,250
92801,800
92107,400
19456,14000
19456,35000
19456,120000
19456,45000
19456,1000000
19456,150000
94612,250000
94612,250000
10019,550000
10019,420000
10019,1000000
10019,1970000
92120,30000
19809,550000
19809,420000
19809,1000000
19809,1970000
19809,1403000
19809,500000
19809,200000
19809,97000
22314,4185
91360,817
22314,408.64
21239,871
